Composition,doi,Phase,Density (g/cm3),Hardness (GPa),YS (MPa) at 23 C,YS (MPa) at 1000 C,YS (MPa) at 1200 C,Test Type,A,Ag,Al,Au,B,Be,C,Ca,Co,Cr,Cu,D,E,Fe,Ga,Gd,Hf,I,Ir,Li,M,Mg,Mn,Mo,N,Nb,Ni,O,P,Pb,Pd,Pt,Q,Re,Rh,S,Si,Sn,Sr,T,Ta,Ti,V,Vi,W,Y,Yb,Zn,Zr,Density_g_cc_ROM,VEC,Pugh_Ratio,Cauchy_Pressure,YS_1300C_MPa,Solidus_K_TC,Liquidus_K_TC,Solidus_C_TC,Liquidus_C_TC,THCD_25C_W_mK
AlMo0.5NbTa0.5TiZr,10.1007/s11837-014-1066-0,,,,2000,745.0,,,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.2,7.156200000000001,4.3,2.9346405228758177,78.39,81.90540665170215,2055.7805685388544,2249.7123193978887,1782.6305685388543,1976.5623193978886,
AlNb1.5Ta0.5Ti1.5Zr0.5,10.1007/s11837-014-1066-0,,,,1280,403.0,,,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.1,6.783800000000002,4.200000000000001,3.0913242009132444,85.55000000000001,7.253216499400306,2187.4483464971217,2251.768656961109,1914.2983464971217,1978.618656961109,
Al0.4Hf0.6NbTaTiZr,10.1007/s11837-014-1066-0,,,,1841,298.0,,,0.0,0.0,0.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.2,9.0704,4.319999999999999,3.054200542005421,83.592,31.15368467927448,2101.75127504248,2288.431221817603,1828.6012750424798,2015.2812218176027,
Al0.3NbTaTi1.4Zr1.3,10.1007/s11837-014-1066-0,,,,1965,236.0,,,0.0,0.0,0.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.2799999999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.26,8.17088,4.34,2.9346405228758177,84.726,36.843640032771695,2098.9819757236182,2270.195972918832,1825.8319757236181,1997.045972918832,
Al0.3NbTa0.8Ti1.4V0.2Zr1.3,10.1007/s11837-014-1066-0,,,,1965,166.0,,,0.0,0.0,0.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16,0.2799999999999999,0.04,0.0,0.0,0.0,0.0,0.0,0.26,7.74768,4.34,2.9604743083003955,86.02199999999999,50.18803528692063,1902.507168560703,2209.8899721747616,1629.357168560703,1936.7399721747615,
Al0.5NbTa0.8Ti1.5V0.2Zr,10.1007/s11837-014-1066-0,,,,2035,220.0,,,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16,0.3,0.04,0.0,0.0,0.0,0.0,0.0,0.2,7.554600000000001,4.3,2.960474308300396,85.53600000000002,37.85846409051412,1820.093247602738,2242.16089756914,1546.9432476027382,1969.01089756914,
Al0.4Hf0.6NbTaTiZr,10.1016/j.actamat.2016.08.081,BCC,9.05,,1841,,,,0.0,0.0,0.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.2,9.0704,4.319999999999999,3.054200542005421,83.592,31.15368467927448,2101.75127504248,2288.431221817603,1828.6012750424798,2015.2812218176027,
AlMo0.5NbTa0.5TiZr,10.1016/j.actamat.2016.08.081,BCC+B2,7.4,,2000,,,,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.2,7.156200000000001,4.3,2.9346405228758177,78.39,81.90540665170215,2055.7805685388544,2249.7123193978887,1782.6305685388543,1976.5623193978886,
Al0.25NbTaTiV,10.1016/j.actamat.2016.08.081,BCC,8.8,,1330,,,,0.0,0.0,0.0588235294117647,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2352941176470588,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2352941176470588,0.2352941176470588,0.2352941176470588,0.0,0.0,0.0,0.0,0.0,0.0,8.600235294117647,4.647058823529412,3.164609053497942,102.34117647058824,87.26690220226841,2241.763706885282,2410.400312154257,1968.6137068852818,2137.250312154257,
Al0.5NbTaTiV,10.1016/j.actamat.2016.08.081,BCC,8.46,,1012,,,,0.0,0.0,0.1111111111111111,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2222222222222222,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2222222222222222,0.2222222222222222,0.2222222222222222,0.0,0.0,0.0,0.0,0.0,0.0,8.272444444444446,4.555555555555555,3.155038759689922,99.22222222222224,68.7604934735898,2232.5678099572347,2373.857362590191,1959.4178099572346,2100.7073625901908,
